date,time,x,y,z
2022-01-01,19:36:00,1254080.542,-4898081.301,4914439.422
2022-01-01,19:39:00,1124931.823,-5782506.223,3880410.779
2022-01-01,19:42:00,934345.31,-6451766.741,2703773.742
2022-01-01,19:45:00,695274.775,-6880102.001,1427806.67
2022-01-01,19:48:00,423000.83,-7051010.395,99419.24
2022-01-01,19:51:00,134309.116,-6957910.554,-1232624.69
2022-01-01,19:54:00,-153401.408,-6604374.789,-2519558.609
2022-01-01,19:57:00,-423025.872,-6003934.688,-3714438.499
2022-01-01,20:00:00,-658632.205,-5179485.791,-4773868.662
2022-01-01,20:03:00,-846267.412,-4162325.471,-5659556.143
2022-01-01,20:06:00,-974652.561,-2990889.229,-6339637.191
2022-01-01,20:09:00,-1035737.508,-1709251.669,-6789745.843
2022-01-01,20:12:00,-1025097.051,-365458.225,-6993804.278
2022-01-01,20:15:00,-942157.5,990249.121,-6944530.716
2022-01-01,20:18:00,-790246.291,2307257.592,-6643665.256
2022-01-01,20:21:00,-576465.865,3536413.615,-6101918.574
2022-01-01,20:24:00,-311393.411,4631816.815,-5338642.988
2022-01-01,20:27:00,-8612.743,5552525.829,-4381217.923
2022-01-01,20:30:00,315906.105,6264119.847,-3264152.089
2022-01-01,20:33:00,644560.03,6740050.625,-2027909.958
2022-01-01,20:36:00,958969.486,6962720.058,-717489.119
2022-01-01,20:39:00,1240900.411,6924220.576,619212.804
2022-01-01,20:42:00,1473204.629,6626683.678,1933179.032
2022-01-01,20:45:00,1640724.644,6082210.385,3176120.316
2022-01-01,20:48:00,1731116.373,5312386.874,4302305.824
2022-01-01,20:51:00,1735546.844,4347400.756,5270298.814
2022-01-01,20:54:00,1649225.961,3224798.323,6044513.407
2022-01-01,20:57:00,1471746.577,1987962.894,6596520.82
2022-01-01,21:00:00,1207221.839,684388.552,6906079.894
2022-01-01,21:03:00,864212.221,-636182.239,6961855.243
2022-01-01,21:06:00,455445.9,-1923677.416,6761816.697
2022-01-01,21:09:00,-2660.93,-3129615.176,6313312.31
2022-01-01,21:12:00,-490666.896,-4208954.622,5632803.201
2022-01-01,21:15:00,-986921.732,-5121802.94,4745272.024
2022-01-01,21:18:00,-1468511.055,-5834932.855,3683332.677
2022-01-01,21:21:00,-1912296.112,-6323052.166,2486038.097
2022-01-01,21:24:00,-2295996.648,-6569749.887,1197425.941
